name,price
Upalala - Colonia Clásica New Baby - 200 ml,$430
Upalala - Shampoo - 200 ml,$266
Upalala - Jabón Bebé - 90 g,$166
Upalala - Colonia Cítrica Luz de Luna - 200 ml,$430
Upalala - Crema de Enjuague - 200 ml,$266
Upalala - Talco - 150 g,$304
Upalala - Colonia Dulce Brisa - 200 ml,$430
Upalala - Perfume para Ropa Lola - 100 ml,$440
Upalala - Toallas Húmedas - 100 unidades,$226
"Upalala - Set Jabonoso - Colonia, Jabón Osito, Muñeco",$888
Upalala - Bolsa Grande Reutilizable,$134
"Upalala - Caja Sorpresa - Colonia, Shampoo, Toallas húmedas",$1.005
"Upalala - Set Portachupete - Colonia, Portachupete",$791
"Upalala - Set Zoo - Colonia, Jabón, Muñeco",$1.031
"Upalala - Estuche Rosca - Colonia, Shampoo, Talco, Jabón, Muñeco",$1.518
"Upalala - Set Pantufla - Colonia, Jabón, Pantuflas",$937
"Upalala - Estuche Escarpín - Colonia, Shampoo, Jabón, Talco, Escarpines",$1.518
Upalala - Jabón Líquido - 250 cc,$440
Algabo Baby - Aceite para Bebé - 200 ml,$478
"Upalala - Estuche Babero y Escarpin - Colonia, Talco, Babero, Escarpines",$1.467
"Upalala - Estuche Babero Bordado - Colonia, Talco, Babero Bordado",$1.364
"Set Pepa - Gorro, Babita, Babero y Escarpines - Natural",$1.219
Set Nemo - Pantalón y Bata - Granja,$1.646
Cerdito - Apapachitos,$903
O2+ ESPONJA MAQUILLAJE BEAUTY BLENDER NEGRA (4032),$472
TELA AD. OXIDO ZINC FUREY TUBO 5 cm x 9 mts,$2.609
"TELA AD. OXIDO ZINC FUREY TUBO 2,5 cm x 9 mts",$2.609
OXIMETRO MAVERICK CMS50D,$4.906
AFEITADORA MAVERICK SHAVER1,$10.642
VASELINA SOLIDA TRIFARMA POTE x 30 grs,$239
MULETA ALUMINIO MAVERICK PAR (GRANDE) BT707,$6.504
NEBU ULTRASONICO MESH MAVERICK NE-M01L,$18.457
NEBU A PISTON MAVERICK 403D,$10.655
NEBU A PISTON MAVERICK 403E,$10.974
O2+ ESPONJA MAQUILLAJE BEAUTY BLENDER ELIPTICA FUCSIA (4056),$472
AGUJA PERICRANEAL (BUTERFLY) KABU N. 21,$14
JMY UÑAS POSTIZAS x 40 u. CUADRADAS,$368
ALFA SHOCK DE KERATINA SPRAY x 220 ml.,$1.433
O2+ PINZA DE DEPILAR ROSA SKIN (0614),$599
CH CHUP MARIPOSA CLAS 3 CELESTE,$59
MB OLEO DE KERATINA Y ARGAN x 10 ml.,$41
ultra alcohol gel dp 220,$150
Baby aceite para bebé 355,$663
Baby Natural wipes 80,$702
Baby Natural wipes 48,$442
Baby wipes oleo calcáreo 48,$338
colchón de huevito,$2.100
banderines decorativos,$1.800
JUEGO CEPILLO Y PEINE,
PEINE BEBE,
JAC DELINEADOR EN FIBRA PARA OJOS VERDE 690-005,$1.005
JAC DELINEADOR EN FIBRA PARA OJOS CELESTE 690-004,$1.005
JAC DELINEADOR EN FIBRA PARA OJOS LILA 690-003,$1.005
JAC DELINEADOR EN FIBRA PARA OJOS BLANCO 690-002,$1.005
JAC DELINEADOR EN FIBRA PARA OJOS NEGRO 690-001,$1.005
GUANTE LATEX TRUX CHICO x 100 u.,$542
TERMOMETRO DE GALIO FUREY SIN MERCURIO,$1.117
EUDA COLAGENO HIDROLIZADO BEAUTY x 250 g.,$2.370
EUDA COLAGENO HIDROLIZADO FLEX x 250 g.,$2.274
EUDA COLAGENO HIDROLIZADO 100% PURO x 250 g.,$2.126
EUDA COMPLEJO VITAMINICO B x 90 comp.,$987
EUDA ZINC QELATO 30mg x 50 cap.,$1.086
EUDA VITAMINA E 400UI x 50 cap.,$1.197
EUDA VITAMINA D3 2000UI x 90 comp.,$920
EUDA VITAMINA C 500mg x 50 cap.,$1.030
EUDA VITAMINA B12 500mcg x 90 comp.,$978
EUDA BIOTINA 2000mcg x 90 comp.,$985
EUDA MAGNESIO QELATO 100mg x 50 cap.,$1.126
TERMOMETRO DIGITAL FUREY DT/K11B,$649
PEINE FUREY (MOD.2) PIOJOS DIENTE Y MANGO METAL,$519
VAPORIZADOR SILFAB V12,$9.382
JERINGA DARLING 5 cc 40/8 x 100 u,$1.150
JERINGA DARLING 20 cc S/A x u,$24
CH COLONIA x 120cc C/ VAP,$599
VASELINA SOLIDA POTE x kg TABLADA,$3.507
OG CEPILLO NEUMATICO CHICO (431),$679
"TELA ADHESIVA TUBO HOSP AS 10 cm x 4,5 mts",$2.079
"TELA ADHESIVA TUBO HOSP AS 2,5 cm x 4,5 mts",$2.079
CH CAMBIADOR PEZ CON MOÑO,$713
CH CAMBIADOR PULPO,$713
CH CAMBIADOR BALLENA,$713
Algabo hisopos tubo 200,$371
algabo quita black 100,$179
kids jabon liquido dp 300,$215
JMY ESCOFINA PALETA,$363
CH ESTUCHE N.21 B,$3.379
CH ESTUCHE N. 9 F,$2.599
ANDADOR ROLLATOR CON 4 RUEDAS SILFAB A3019B,$45.437
MB VEGANOS MANGO Y CAFE VERDE DOYPACK x 250 gr.,$424
MB VEGANOS MANGO Y CAFE VERDE x 20 gr.,$85
