name,price,brand,codigo de barra
 CHAPOTEANDO EXHIBIDOR (CONSULTAR PRECIO) ,163323.7,CHAPOTEANDO,
 MANIQUÍ FUREY (CONSULTAR PRECIO) ,127524.49,FUREY,
 MS EXHIBIDOR (CONSULTAR PRECIO) ,123880.2,MAS,
 CHAPOTEANDO TETINA SILICONA BOCA ANGOSTA BOLSA x 1000 u. ,80000,CHAPOTEANDO,
 JACTANS EXHIBIDOR 3 ESTANTES 9049 (CONSULTAR PRECIO) ,62553.41,JACTANS,
 ANILINA YACOLOR EXHIBIDOR x 240 unid. ,52080,YA COLOR,
 VENDA CAMBRIC FUREY (Mod 2) 10 cm. CAJA x 500 u ,46233,FUREY,
 VENDA CAMBRIC FUREY (Mod 1) 10 cm. CAJA x 500 u ,46233,FUREY,
 O2+ EXHIBIDOR DE MOSTRADOR  (CONSULTAR PRECIO) ,36373.2,O2+,
 VENDA CAMBRIC FUREY (Mod 2) 7 cm. CAJA x 700 u ,35604,FUREY,
 VENDA CAMBRIC FUREY (Mod 1) 7 cm. CAJA x 500 u ,33951,FUREY,
 IYOSEI EXHIBIDOR (CONSULTAR PRECIO) ,27654.94,IYOSEI,
 DISNEY EXHIBIDOR (CONSULTAR PRECIO) ,25608.28,DISNEY,
 VENDA CAMBRIC FUREY (Mod 2) 5 cm. CAJA x 500 u ,24552,FUREY,
 EXHIBIDOR DE PEINES ,24332.82,FUREY,
 CHAPOTEANDO TETINA SILICONA BOCA ANGOSTA BOLSA x 250 u. ,21500,CHAPOTEANDO,
 SILFAB MANTA TERMICA PARA CAMA 2 PLAZA ,21059.01,SILFAB,
 EXHIBIDOR ESMALTES ,19756.44,Sin Marca,
 NEBULIZADOR ULTRASONICO MESH MAVERICK NE-M01L ,17578.23,MAVERICK,
 EXHIBIDOR NEOPRENE DE MOSTRADOR FUREY (CONSULTAR PRECIO) ,17502.96,FUREY,
 ANDADOR DE ALUMINIO SIN RUEDAS SILFAB A3015 ,16161.4,SILFAB,
 EXHIBIDOR DE CEPILLOS ,16133.17,FUREY,
 NEBULIZADOR FUREY ULTRASONICO COD.N68A ,14882,FUREY,
 TENSIOMETRO DIGITAL AUT.BRAZO CHU304 CITIZEN ,13895,CITIZEN,
 ELEVADOR PARA INODORO PLASTICO SILFAB 1018 ,13629.66,SILFAB,
 NEBULIZADOR A PISTON FUREY COMPRESOR NBB02/A50 ,12774,FUREY,
 SILLA ELEVADOR DE INODORO HIERRO REGULABLE ,12458.38,ANTARES,
 FRASCO ESTERIL SIN CAJA GASANA BULTO x 225 unid. ,12448,GASANA,
 ANDADOR TIJERA CON 2 RUEDAS SILFAB A3026 ,12290.07,SILFAB,
 COLCHON ANTIESCARAS DE AIRE CON BOMBA CORONET ,11147.63,CORONET,
 MANTA TERMICA POLIESTER PARA CAMA 1 PLAZA ,11739.35,SILFAB,
 ANDADOR TIJERA SILFAB A3025 ,11680.51,SILFAB,
 NEBULIZADOR A PISTON MAVERICK 403E ,10451.58,MAVERICK,
 NEBULIZADOR A PISTON MAVERICK 403D ,10147.17,MAVERICK,
 VENDA ELASTICA DE 10cm ROLLO x 25 METROS ,10973,FUREY,
 TENSIOMETRO DIGITAL AUT.MUÑECA CH617 CITIZEN ,10780,CITIZEN,
 VAPORIZADOR SILFAB V12 ,8935.3,SILFAB,
 VAPORIZADOR SILFAB ,8935.3,SILFAB,
 MULETA ALUMINIO SILFAB EL PAR (GRANDE) HY7500L ,8798.14,SILFAB,
 TENSIOMETRO DIGITAL SCIAN AUTOMATICO DE BRAZO LD572 ,8536,SCIAN,
 TENSIOMETRO DIGITAL FUREY DE BRAZO LD572 ,8536,FUREY,
 MULETA ALUMINIO SILFAB EL PAR (MEDIANA) HY7501L ,8442.12,SILFAB,
 ALMOHADILLA TERMICA SILFAB SMALL AL90/GR ,8386.38,SILFAB,
 MULETA  ALUMINIO SILFAB EL PAR (CHICA) HY7502L ,8059.12,SILFAB,
 PLANCHITA PELO SILFAB LISS EXPERT BY615 ,7767.25,SILFAB,
 SUSPENSOR ANATOMICO ANTAR GOMA LARGO TALLE 9 ,7489.24,ANTAR,
 SUSPENSOR ANATOMICO ANTAR GOMA LARGO TALLE 8 ,7489.24,ANTAR,
 SUSPENSOR ANATOMICO ANTAR GOMA LARGO TALLE 7 ,7489.24,ANTAR,
 SECADOR PELO SILFAB HEAT EXPERT BY520 S ,7442.59,SILFAB,
 LAPIZ LABIAL CAJA EXHIBIDORA x 30 u. ,7434.91,MOON FLOWER,
 TENSIOMETRO DIGITAL EUROMIX AUTOMATICO DE BRAZO  YKBPA1 ,7384,EUROMIX,
 CHAPOTEANDO ESTUCHE CAJA N. 2 ,7168.89,CHAPOTEANDO,
 CHAPOTEANDO ESTUCHE BANDEJA N. 2 ,7168.89,CHAPOTEANDO,
 ALMOHADILLA TERMICA SILFAB CERVICAL AL82 ,7106.77,SILFAB,
 SUSPENSOR ANATOMICO ANTAR GOMA LARGO TALLE 6 ,7053.46,ANTAR,
 SUSPENSOR ANATOMICO ANTAR GOMA LARGO TALLE 5 ,7053.46,ANTAR,
 SUSPENSOR ANATOMICO ANTAR GOMA LARGO TALLE 4 ,7053.46,ANTAR,
 PARCHE POROSO ADHESUR CAJA CON 25 SOBRES x 2 u. ,6988,ADHESUR,
 GOMA PARA LIGAR GRUESA ROLLO x 40 METRO ,6980,Sin Marca,
 TENSIOMETRO DIGITAL FUREY DE MUÑECA LD752 ,6550,FUREY,
 TENSIOMETRO DIGITAL AUT.MUÑECA CORONET LD752 ,6550,CORONET,
 JACTANS EXHIBIDOR PLASTICO (CONSULTAR PRECIO) ,6453.53,JACTANS,
 SUSPENSOR ANATOMICO ANTAR GOMA LARGO TALLE 3 ,6400.61,ANTAR,
 SUSPENSOR ANATOMICO ANTAR GOMA LARGO TALLE 2 ,6400.61,ANTAR,
 BOTA/FERULA WALKER CON FUNDA TIPO TABA MEDIANO ,6167.76,ANTARES,
 BOTA/FERULA WALKER CON FUNDA TIPO TABA GRANDE ,6167.76,ANTARES,
 BOTA/FERULA WALKER CON FUNDA TIPO TABA CHICO ,6167.76,ANTARES,
 HOMBRERA NEOPRENE FUREY IZQUIERDA TALLE 3 ,6074.6,FUREY,
