Name,Price
ACC.CAB.(COD.MN-20A) TIC TAC GRANDES X 12U,34
ACC.CAB.(COD.PI-17) PICO MEDIANO X 12U,23
ACCESORIO INCONTINENCIA MASCULINA 30 MM,29
ACCESORIO INCONTINENCIA MASCULINO 35 MM,29
ACEITE DE ALMENDRAS X 40CC TABLADA,268
ACEITE DE ALMENDRAS X LT TABLADA,825
"ACEITE DE COCO ""PURO"" X 125 CC TABLADA",944
"ACEITE DE COCO ""PURO"" X LT. TABLADA",5754
ACEITE DE HIGADO DE BACALAO X 125 CC TABLADA,473
ACEITE DE RICINO X 30CC IBC,266
ACEITE PARA CUTICULA (AF 04301),296
ACEITE VERDE TABLADA  X 125 C.C.,482
ACIDO BORICO SOBRES 20GR X U.,59
AEROCAMARA AERO100 ADULTO,694
AEROCAMARA AERO100 NEO NATAL,694
AEROCAMARA AERO100 PEDIATRICA,694
AGUA D'ALIBOUR X 100CC DROGAL/SANADROG,102
AGUA D'ALIBOUR X 1LT,483
AGUA DE AZAHAR X 100CC,138
AGUA DE AZAHAR X 1LT,211
AGUA DE ROSAS X 100CC,125
AGUA DE ROSAS X 1LT,642
AGUA DESTILADA  X 1LT,234
AGUA DESTILADA AMPOLLA  5CC CAJA X  U,60
AGUA DESTILADA AMPOLLA 10CC CAJA X  U,94
AGUA DESTILADA BIDON X 5L,865
AGUA DESTILADA X 500CC,185
"AGUA OXIGENADA  10 VOL X 100 CC ""GOTERO"" ",94
AGUA OXIGENADA  10 VOL X 100CC,94
AGUA OXIGENADA  10 VOL X 250CC,173
AGUA OXIGENADA  10 VOL X 500CC,272
AGUA OXIGENADA  10 VOL X LT,334
AGUA OXIGENADA  20 VOL X 100CC,122
AGUA OXIGENADA  30 VOL X 100CC,127
AGUA OXIGENADA  40 VOL X 100CC,149
AGUA OXIGENADA  50 VOL X 100CC,156
AGUJAS DESC. 13/3  (30 G 1/2)X U BREMEN,4
AGUJAS DESC. 13/4 (27G 1/2) X U CORON/BREM,3
AGUJAS DESC. 16/5 (25 G 5/8) X U,3
AGUJAS DESC. 25/6 (23 G 1) X U,2
AGUJAS DESC. 25/7 ( 22 G 1 ) X U,3
AGUJAS DESC. 25/8 (21 G 1 )  X U,3
AGUJAS DESC. 25/9 X U.,2
"AGUJAS DESC. 30/7 (22GX1,1/4"")  X U",1
"AGUJAS DESC. 30/8 (21GX1,1/4"") X U.",1
