name_df1,name_df2,price_df1,price_df2,similarity
Upalala - Colonia Clásica New Baby - 200 ml,,$430,,
Upalala - Shampoo - 200 ml,,$266,,
Upalala - Jabón Bebé - 90 g,,$166,,
Upalala - Colonia Cítrica Luz de Luna - 200 ml,,$430,,
Upalala - Crema de Enjuague - 200 ml,,$266,,
Upalala - Talco - 150 g,,$304,,
Upalala - Colonia Dulce Brisa - 200 ml,,$430,,
Upalala - Perfume para Ropa Lola - 100 ml,,$440,,
Upalala - Toallas Húmedas - 100 unidades,,$226,,
"Upalala - Set Jabonoso - Colonia, Jabón Osito, Muñeco",,$888,,
Upalala - Bolsa Grande Reutilizable,,$134,,
"Upalala - Caja Sorpresa - Colonia, Shampoo, Toallas húmedas",,$1.005,,
"Upalala - Set Portachupete - Colonia, Portachupete",,$791,,
"Upalala - Set Zoo - Colonia, Jabón, Muñeco",,$1.031,,
"Upalala - Estuche Rosca - Colonia, Shampoo, Talco, Jabón, Muñeco",,$1.518,,
"Upalala - Set Pantufla - Colonia, Jabón, Pantuflas",,$937,,
"Upalala - Estuche Escarpín - Colonia, Shampoo, Jabón, Talco, Escarpines",,$1.518,,
Upalala - Jabón Líquido - 250 cc,,$440,,
Algabo Baby - Aceite para Bebé - 200 ml, ALGABO BABY ACEITE PARA BEBE x 200 ml ,$478,518.84,96
"Upalala - Estuche Babero y Escarpin - Colonia, Talco, Babero, Escarpines",,$1.467,,
"Upalala - Estuche Babero Bordado - Colonia, Talco, Babero Bordado",,$1.364,,
"Set Pepa - Gorro, Babita, Babero y Escarpines - Natural",,$1.219,,
Set Nemo - Pantalón y Bata - Granja,,$1.646,,
Cerdito - Apapachitos,,$903,,
O2+ ESPONJA MAQUILLAJE BEAUTY BLENDER NEGRA (4032), O2+ ESPONJA MAQUILLAJE BEAUTY BLENDER VIOLETA ,$472,449.74,90
TELA AD. OXIDO ZINC FUREY TUBO 5 cm x 9 mts,,$2.609,,
"TELA AD. OXIDO ZINC FUREY TUBO 2,5 cm x 9 mts",,$2.609,,
OXIMETRO MAVERICK CMS50D, OXIMETRO DE PULSO MAVERICK CMS50D ,$4.906,4672.0,100
AFEITADORA MAVERICK SHAVER1,,$10.642,,
VASELINA SOLIDA TRIFARMA POTE x 30 grs, VASELINA SOLIDA FUREY POTE x  30 grs ,$239,228.0,91
MULETA ALUMINIO MAVERICK PAR (GRANDE) BT707,,$6.504,,
NEBU ULTRASONICO MESH MAVERICK NE-M01L, NEBULIZADOR ULTRASONICO MESH MAVERICK NE-M01L ,$18.457,17578.23,93
NEBU A PISTON MAVERICK 403D, NEBULIZADOR A PISTON MAVERICK 403D ,$10.655,10147.17,90
NEBU A PISTON MAVERICK 403E, NEBULIZADOR A PISTON MAVERICK 403E ,$10.974,10451.58,90
O2+ ESPONJA MAQUILLAJE BEAUTY BLENDER ELIPTICA FUCSIA (4056), O2+ ESPONJA MAQUILLAJE BEAUTY BLENDER VIOLETA ,$472,449.74,90
AGUJA PERICRANEAL (BUTERFLY) KABU N. 21, AGUJA PERICRANEAL (TIPO BUTERFLY) EURO MIX N. 21 ,$14,27.0,93
JMY UÑAS POSTIZAS x 40 u. CUADRADAS,,$368,,
ALFA SHOCK DE KERATINA SPRAY x 220 ml., ALFA SHOCK DE KERATINA SPRAY x 220 ml. ,$1.433,2006.16,100
O2+ PINZA DE DEPILAR ROSA SKIN (0614),,$599,,
CH CHUP MARIPOSA CLAS 3 CELESTE,,$59,,
MB OLEO DE KERATINA Y ARGAN x 10 ml., MB OLEO DE KERATINA Y ARGAN x 10 ml. ,$41,202.35,100
ultra alcohol gel dp 220,,$150,,
Baby aceite para bebé 355,,$663,,
Baby Natural wipes 80,,$702,,
Baby Natural wipes 48,,$442,,
Baby wipes oleo calcáreo 48,,$338,,
colchón de huevito,,$2.100,,
banderines decorativos,,$1.800,,
JUEGO CEPILLO Y PEINE,,,,
PEINE BEBE, CHAPOTEANDO CEPILLO CABELLO + PEINE BEBE ROSA ,,648.0,100
JAC DELINEADOR EN FIBRA PARA OJOS VERDE 690-005, JACTANS DELINEADOR EN FIBRA PARA OJOS VERDE 690-005 ,$1.005,1162.66,96
JAC DELINEADOR EN FIBRA PARA OJOS CELESTE 690-004, JACTANS DELINEADOR EN FIBRA PARA OJOS CELESTE 690-004 ,$1.005,1162.66,96
JAC DELINEADOR EN FIBRA PARA OJOS LILA 690-003, JACTANS DELINEADOR EN FIBRA PARA OJOS LILA 690-003 ,$1.005,1162.66,96
JAC DELINEADOR EN FIBRA PARA OJOS BLANCO 690-002, JACTANS DELINEADOR EN FIBRA PARA OJOS BLANCO 690-002 ,$1.005,1162.66,96
JAC DELINEADOR EN FIBRA PARA OJOS NEGRO 690-001, JACTANS DELINEADOR EN FIBRA PARA OJOS NEGRO 690-001 ,$1.005,1162.66,96
GUANTE LATEX TRUX CHICO x 100 u., GUANTE LATEX AS CHICO  x 100 u. ,$542,516.0,95
TERMOMETRO DE GALIO FUREY SIN MERCURIO, TERMOMETRO CHATO EXATHERM DE GALIO SIN MERCURIO ,$1.117,1183.53,91
